casilla_id,municipio,df,dl,casilla,ubicación,capturista_id,id
20,1,7,15,8 B,"ESCUELA PRIMARIA FEDERAL MELCHOR OCAMPO, CALLE CARDENALES, SIN NÚMERO, FRACCIONAMIENTO LA JOYITA, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES BUGAMBILIAS Y COLIBRÍES.",1,20
21,1,7,15,8 C1,"ESCUELA PRIMARIA FEDERAL MELCHOR OCAMPO, CALLE CARDENALES, SIN NÚMERO, FRACCIONAMIENTO LA JOYITA, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES BUGAMBILIAS Y COLIBRÍES.",1,21
22,1,7,15,8 C2,"ESCUELA PRIMARIA FEDERAL MELCHOR OCAMPO, CALLE CARDENALES, SIN NÚMERO, FRACCIONAMIENTO LA JOYITA, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES BUGAMBILIAS Y COLIBRÍES.",1,22
23,1,7,15,9 B,"DOMICILIO PARTICULAR, CALLE ÁMBAR, NÚMERO 691, COLONIA EMPLEADOS, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE CALLEJÓN SIN NOMBRE Y PROLONGACIÓN AZTECA",1,23
24,1,7,15,9 C1,"DOMICILIO PARTICULAR, CALLE ÁMBAR, NÚMERO 691, COLONIA EMPLEADOS, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE CALLEJÓN SIN NOMBRE Y PROLONGACIÓN AZTECA",1,24
25,1,7,15,10 B,"MINI DE TODO DOÑA TRINI, CALLE CLAUDIO SARABIA, NÚMERO 180, COLONIA BENITO JUÁREZ, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES FARAÓN SARABIA Y FABIÁN CIEN FUEGOS",1,25
26,1,7,15,10 C1,"MINI DE TODO DOÑA TRINI, CALLE CLAUDIO SARABIA, NÚMERO 180, COLONIA BENITO JUÁREZ, CÓDIGO POSTAL 22820, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES FARAÓN SARABIA Y FABIÁN CIEN FUEGOS",1,26
27,1,7,15,11 B,"ESCUELA PRIMARIA URBANA FEDERAL AQUILES SERDÁN, AVENIDA E, SIN NÚMERO, COLONIA POPULAR NÚMERO 2, CÓDIGO POSTAL 22819, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES PRIMERA Y TERCERA.",1,27
28,1,7,15,11 C1,"ESCUELA PRIMARIA URBANA FEDERAL AQUILES SERDÁN, AVENIDA E, SIN NÚMERO, COLONIA POPULAR NÚMERO 2, CÓDIGO POSTAL 22819, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES PRIMERA Y TERCERA.",1,28
29,1,7,15,11 C2,"ESCUELA PRIMARIA URBANA FEDERAL AQUILES SERDÁN, AVENIDA E, SIN NÚMERO, COLONIA POPULAR NÚMERO 2, CÓDIGO POSTAL 22819, ENSENADA, BAJA CALIFORNIA, ENTRE CALLES PRIMERA Y TERCERA.",1,29
30,1,7,15,11 E1,,,30
31,1,7,16,12 B,"JARDIN DE NIÑOS MARIANO ESCOBEDO, BOULEVARD SECTOR NOROESTE, SIN NÚMERO, FRACCIONAMIENTO VILLA DEL PRADO, PRIMERA SECCIÓN, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA., ESQUINA CON CALLE CALÉNDULA",1,31
32,1,7,16,12 C1,"JARDIN DE NIÑOS MARIANO ESCOBEDO, BOULEVARD SECTOR NOROESTE, SIN NÚMERO, FRACCIONAMIENTO VILLA DEL PRADO, PRIMERA SECCIÓN, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA., ESQUINA CON CALLE CALÉNDULA",1,32
33,1,7,16,12 C2,"JARDIN DE NIÑOS MARIANO ESCOBEDO, BOULEVARD SECTOR NOROESTE, SIN NÚMERO, FRACCIONAMIENTO VILLA DEL PRADO, PRIMERA SECCIÓN, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA., ESQUINA CON CALLE CALÉNDULA",1,33
34,1,7,16,12 C3,"JARDIN DE NIÑOS MARIANO ESCOBEDO, BOULEVARD SECTOR NOROESTE, SIN NÚMERO, FRACCIONAMIENTO VILLA DEL PRADO, PRIMERA SECCIÓN, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA., ESQUINA CON CALLE CALÉNDULA",1,34
35,1,7,16,12 C4,"JARDIN DE NIÑOS MARIANO ESCOBEDO, BOULEVARD SECTOR NOROESTE, SIN NÚMERO, FRACCIONAMIENTO VILLA DEL PRADO, PRIMERA SECCIÓN, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA., ESQUINA CON CALLE CALÉNDULA",1,35
36,1,7,16,12 C5,"JARDIN DE NIÑOS MARIANO ESCOBEDO, BOULEVARD SECTOR NOROESTE, SIN NÚMERO, FRACCIONAMIENTO VILLA DEL PRADO, PRIMERA SECCIÓN, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA., ESQUINA CON CALLE CALÉNDULA",1,36
37,1,7,16,12 C6,"JARDIN DE NIÑOS MARIANO ESCOBEDO, BOULEVARD SECTOR NOROESTE, SIN NÚMERO, FRACCIONAMIENTO VILLA DEL PRADO, PRIMERA SECCIÓN, CÓDIGO POSTAL 22810, ENSENADA, BAJA CALIFORNIA., ESQUINA CON CALLE CALÉNDULA",1,37
